Item_Identifier;Item_Weight;Item_Fat_Content;Item_Visibility;Item_Type;Item_MRP;Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;Outlet_Location_Type;Outlet_Type;Item_Outlet_Sales
FDL34;16,0;Low Fat;0.040938155;Snack Foods;1.411.496;OUT035;2004;Small;Tier 2;Supermarket Type1;45167872
FDL38;;Regular;0.014661762;Canned;891.172;OUT027;1985;Medium;Tier 3;Supermarket Type3;23196472
DRL11;10,5;LF;0.048213766;Hard Drinks;1.596.946;OUT018;2009;Medium;Tier 3;Supermarket Type2;36292758
FDO40;17,1;Low Fat;0.032761024;Frozen Foods;1.488.392;OUT018;2009;Medium;Tier 3;Supermarket Type2;20879488
DRZ24;7535,0;Low Fat;0;Soft Drinks;121.644;OUT045;2002;;Tier 2;Supermarket Type1;1557972
FDM52;15,1;Low Fat;0.025988508;Frozen Foods;1.466.076;OUT035;2004;Small;Tier 2;Supermarket Type1;23649216
FDM52;15,1;Low Fat;0.026140452;Frozen Foods;1.490.076;OUT017;2007;;Tier 2;Supermarket Type1;41386128
FDV49;10,0;low fat;0.025932408;Canned;2.647.226;OUT018;2009;Medium;Tier 3;Supermarket Type2;31718712
FDF47;20,9;Low Fat;0.098170402;Starchy Foods;2.240.746;OUT017;2007;;Tier 2;Supermarket Type1;2243746
FDF56;16,7;Regular;0.119439636;Fruits and Vegetables;1.821.976;OUT035;2004;Small;Tier 2;Supermarket Type1;7243904
FDW12;8315,0;Regular;0.059540542;Baking Goods;1.436.444;OUT010;1998;;Tier 3;Grocery Store;1451444
FDY09;;Low Fat;0.044122209;Snack Foods;1.738.054;OUT019;1985;Small;Tier 1;Grocery Store;1751054
FDY55;16,8;Low Fat;0.081304829;Fruits and Vegetables;2.584.988;OUT035;2004;Small;Tier 2;Supermarket Type1;41119808
FDU36;;Low Fat;0.081014461;Baking Goods;988.384;OUT019;1985;Small;Tier 1;Grocery Store;492692
NCR06;12,5;Low Fat;0.006775667;Household;429.112;OUT049;1999;Medium;Tier 1;Supermarket Type1;10226688
FDW24;6,8;Low Fat;0.03749705;Baking Goods;499.034;OUT046;1997;Small;Tier 1;Supermarket Type1;1944136
FDF16;7,3;Low Fat;0.086060695;Frozen Foods;1.498.076;OUT013;1987;High;Tier 3;Supermarket Type1;28083444
NCR18;15,9;Low Fat;0.020519478;Household;425.112;OUT049;1999;Medium;Tier 1;Supermarket Type1;852224
DRD01;12,1;Regular;0.061163967;Soft Drinks;565.614;OUT035;2004;Small;Tier 2;Supermarket Type1;828921
FDS15;9195,0;Regular;0.07821891;Meat;1.076.596;OUT045;2002;;Tier 2;Supermarket Type1;3235788
FDT19;7,6;Regular;0.14492016;Fruits and Vegetables;174.708;OUT013;1987;High;Tier 3;Supermarket Type1;2942836
FDE59;12,2;Low Fat;0.062235983;Starchy Foods;345.532;OUT013;1987;High;Tier 3;Supermarket Type1;359532
FDE04;19,8;Regular;0.030166924;Frozen Foods;179.766;OUT010;1998;;Tier 3;Grocery Store;719064
NCV17;18,9;Low Fat;0.016104504;Health and Hygiene;1.302.626;OUT035;2004;Small;Tier 2;Supermarket Type1;23609268
FDC17;12,2;LF;0.01544786;Frozen Foods;2.112.928;OUT013;1987;High;Tier 3;Supermarket Type1;27351064
FDI45;13,1;Low Fat;0.037574137;Fruits and Vegetables;1.742.054;OUT035;2004;Small;Tier 2;Supermarket Type1;36772134
FDZ33;;Low Fat;0.106876976;Snack Foods;1.467.076;OUT027;1985;Medium;Tier 3;Supermarket Type3;38429976
FDJ56;;Low Fat;0.32111501;Fruits and Vegetables;100.77;OUT019;1985;Small;Tier 1;Grocery Store;200
FDN25;7895,0;Regular;0.061124626;Breakfast;585.588;OUT013;1987;High;Tier 3;Supermarket Type1;1717764
FDC10;;Regular;0.127599399;Snack Foods;1.189.098;OUT019;1985;Small;Tier 1;Grocery Store;1205098
FDQ22;16,8;Low Fat;0.029785889;Snack Foods;389.822;OUT049;1999;Medium;Tier 1;Supermarket Type1;6285152
NCR54;16,4;Low Fat;0;Household;198.211;OUT035;2004;Small;Tier 2;Supermarket Type1;2946165
DRK11;8,2;Low Fat;0.010762387;Hard Drinks;1.495.392;OUT035;2004;Small;Tier 2;Supermarket Type1;17896704
DRI37;15,9;Low Fat;0.108206497;Soft Drinks;583.904;OUT017;2007;;Tier 2;Supermarket Type1;4687232
FDX37;16,2;Low Fat;0.063127333;Canned;100.47;OUT049;1999;Medium;Tier 1;Supermarket Type1;1598
FDF05;17,5;Low Fat;0.02687089;Frozen Foods;264.491;OUT046;1997;Small;Tier 1;Supermarket Type1;3681874
FDW36;;Low Fat;0.099681705;Baking Goods;1.074.622;OUT019;1985;Small;Tier 1;Grocery Store;3175866
FDI04;13,7;Regular;0.072898645;Frozen Foods;1.981.426;OUT035;2004;Small;Tier 2;Supermarket Type1;1977426
FDB04;11,4;Regular;0.063354531;Dairy;889.856;OUT045;2002;;Tier 2;Supermarket Type1;12303984
FDU38;10,8;Low Fat;0.082534287;Dairy;1.911.504;OUT035;2004;Small;Tier 2;Supermarket Type1;44102592
FDY28;7,5;Regular;0.152024355;Frozen Foods;2.118.218;OUT013;1987;High;Tier 3;Supermarket Type1;14960526
FDP20;19,9;Low Fat;0.045669236;Fruits and Vegetables;126.402;OUT046;1997;Small;Tier 1;Supermarket Type1;1012016
FDC29;8,4;Regular;0.024342578;Frozen Foods;1.136.176;OUT017;2007;;Tier 2;Supermarket Type1;2863
FDR45;10,8;Low Fat;0.028988288;Snack Foods;2.392.222;OUT049;1999;Medium;Tier 1;Supermarket Type1;66926216
NCC42;15,0;Low Fat;0.044908404;Health and Hygiene;1.402.838;OUT046;1997;Small;Tier 1;Supermarket Type1;1404838
NCF42;17,4;Low Fat;0.168329848;Household;1.767.712;OUT017;2007;;Tier 2;Supermarket Type1;28123392
FDZ45;14,1;Low Fat;0.111936685;Snack Foods;1.988.084;OUT010;1998;;Tier 3;Grocery Store;992042
FDB23;19,2;Regular;0.005620213;Starchy Foods;2.266.062;OUT017;2007;;Tier 2;Supermarket Type1;51912426
FDC41;15,6;Low Fat;0.117095014;Frozen Foods;78.067;OUT049;1999;Medium;Tier 1;Supermarket Type1;1148505
FDA10;;LF;0.248301532;Snack Foods;1.241.072;OUT019;1985;Small;Tier 1;Grocery Store;2450144
NCM26;20,5;LF;0.023274107;Others;154.134;OUT017;2007;;Tier 2;Supermarket Type1;2909546
FDZ58;;Low Fat;0.091354948;Snack Foods;1.223.072;OUT019;1985;Small;Tier 1;Grocery Store;1225072
FDW35;10,6;Low Fat;0.011087128;Breads;414.454;OUT035;2004;Small;Tier 2;Supermarket Type1;1468089
FDX32;15,1;Regular;0.099839365;Fruits and Vegetables;1.433.786;OUT035;2004;Small;Tier 2;Supermarket Type1;17337432
FDK40;7035,0;Low Fat;0.021938404;Frozen Foods;264.691;OUT018;2009;Medium;Tier 3;Supermarket Type2;5785802
FDD04;16,0;Low Fat;0.090480206;Dairy;1.424.154;OUT017;2007;;Tier 2;Supermarket Type1;19854156
FDP28;13,7;Regular;0.080640478;Frozen Foods;2.626.936;OUT046;1997;Small;Tier 1;Supermarket Type1;41758976
NCL42;18,9;Low Fat;0.040338009;Household;2.467.144;OUT013;1987;High;Tier 3;Supermarket Type1;66153888
DRB13;6115,0;Regular;0.007043008;Soft Drinks;190.353;OUT035;2004;Small;Tier 2;Supermarket Type1;569259
FDC33;9,0;Regular;0.069219165;Fruits and Vegetables;1.965.768;OUT018;2009;Medium;Tier 3;Supermarket Type2;27590752
FDO58;19,6;Low Fat;0.039569689;Snack Foods;1.659.526;OUT035;2004;Small;Tier 2;Supermarket Type1;26312416
FDE34;9195,0;Low Fat;0.180588082;Snack Foods;1.822.634;OUT010;1998;;Tier 3;Grocery Store;3635268
NCE19;9,0;Low Fat;0.09301462;Household;527.956;OUT046;1997;Small;Tier 1;Supermarket Type1;10373164
NCJ18;12,4;LF;0.274405193;Household;1.171.124;OUT010;1998;;Tier 3;Grocery Store;3555372
FDF52;9,3;Low Fat;0.066887123;Frozen Foods;1.839.292;OUT049;1999;Medium;Tier 1;Supermarket Type1;32837256
FDY04;17,7;Regular;0.042468413;Frozen Foods;162.421;OUT035;2004;Small;Tier 2;Supermarket Type1;1468089
DRF49;7,3;Low Fat;0.071188446;Soft Drinks;1.119.518;OUT049;1999;Medium;Tier 1;Supermarket Type1;1138518
FDX27;20,7;Regular;0.191008614;Dairy;928.436;OUT010;1998;;Tier 3;Grocery Store;1890872
FDV28;16,1;Regular;0.159595473;Frozen Foods;328.558;OUT013;1987;High;Tier 3;Supermarket Type1;339558
FDE33;;Regular;0.086905536;Fruits and Vegetables;788.644;OUT019;1985;Small;Tier 1;Grocery Store;3142576
FDQ37;20,8;Low Fat;0.089186387;Breakfast;1.933.478;OUT013;1987;High;Tier 3;Supermarket Type1;60061818
NCG30;20,2;LF;0.112321218;Household;1.236.046;OUT046;1997;Small;Tier 1;Supermarket Type1;29881104
NCH29;5,5;Low Fat;0.034668802;Health and Hygiene;985.726;OUT017;2007;;Tier 2;Supermarket Type1;17617068
FDV20;20,2;Regular;0;Fruits and Vegetables;1.290.678;OUT017;2007;;Tier 2;Supermarket Type1;35606984
FDG57;14,7;Low Fat;0.072592873;Fruits and Vegetables;485.034;OUT018;2009;Medium;Tier 3;Supermarket Type2;8748612
FDU60;20,0;Regular;0.059889718;Baking Goods;1.685.132;OUT035;2004;Small;Tier 2;Supermarket Type1;28749244
NCH30;17,1;Low Fat;0.112402118;Household;112.986;OUT010;1998;;Tier 3;Grocery Store;113186
NCM29;11,5;Low Fat;0.029529474;Health and Hygiene;1.326.626;OUT010;1998;;Tier 3;Grocery Store;2623252
FDB12;11,2;Regular;0.105736638;Baking Goods;1.044.648;OUT018;2009;Medium;Tier 3;Supermarket Type2;21811608
FDD53;16,2;Low Fat;0.044291251;Frozen Foods;433.454;OUT049;1999;Medium;Tier 1;Supermarket Type1;5033448
FDI44;16,1;Low Fat;0.100388706;Fruits and Vegetables;760.328;OUT049;1999;Medium;Tier 1;Supermarket Type1;18535872
FDW56;;Low Fat;0.070556945;Fruits and Vegetables;1.912.162;OUT027;1985;Medium;Tier 3;Supermarket Type3;75042318
FDA01;15,0;Regular;0.054599767;Canned;594.904;OUT018;2009;Medium;Tier 3;Supermarket Type2;6444944
FDG47;12,8;Low Fat;0.069560905;Starchy Foods;2.630.252;OUT013;1987;High;Tier 3;Supermarket Type1;28855772
FDT40;5985,0;Low Fat;0;Frozen Foods;1.252.678;OUT035;2004;Small;Tier 2;Supermarket Type1;10173424
FDU20;19,4;Regular;0.021453493;Fruits and Vegetables;1.203.098;OUT035;2004;Small;Tier 2;Supermarket Type1;25307058
NCP41;16,6;Low Fat;0.016276741;Health and Hygiene;1.098.596;OUT018;2009;Medium;Tier 3;Supermarket Type2;1617894
FDW36;;LF;0.056656942;Baking Goods;1.062.622;OUT027;1985;Medium;Tier 3;Supermarket Type3;23289684
FDN31;11,5;Low Fat;0.072994847;Fruits and Vegetables;189.253;OUT049;1999;Medium;Tier 1;Supermarket Type1;1328271
NCU54;8,9;Low Fat;0.165073642;Household;207.727;OUT010;1998;;Tier 3;Grocery Store;209727
FDS01;11,6;Low Fat;0.017744999;Canned;1.779.686;OUT046;1997;Small;Tier 1;Supermarket Type1;12443802
FDA23;9,8;LF;0.047453947;Baking Goods;1.017.016;OUT017;2007;;Tier 2;Supermarket Type1;1518024
FDY08;9395,0;Regular;0.171422166;Fruits and Vegetables;1.391.838;OUT045;2002;;Tier 2;Supermarket Type1;16858056
FDJ28;12,3;Low Fat;0.021860985;Frozen Foods;1.933.162;OUT046;1997;Small;Tier 1;Supermarket Type1;30786592
DRF36;16,1;Low Fat;0.023577298;Soft Drinks;1.926.846;OUT046;1997;Small;Tier 1;Supermarket Type1;2866269
FDH44;19,1;Regular;0.043304681;Fruits and Vegetables;1.475.418;OUT010;1998;;Tier 3;Grocery Store;2942836
NCY54;8,4;Low Fat;0.177971115;Household;1.740.422;OUT049;1999;Medium;Tier 1;Supermarket Type1;20693064
FDR59;14,5;Regular;0.106894492;Breads;2.604.594;OUT010;1998;;Tier 3;Grocery Store;10466376
DRA59;8,3;Regular;0.127927931;Soft Drinks;1.848.924;OUT046;1997;Small;Tier 1;Supermarket Type1;44422176
FDS55;7,0;Low Fat;0.081623275;Fruits and Vegetables;1.480.734;OUT017;2007;;Tier 2;Supermarket Type1;19301542
FDZ28;20,0;Regular;0.051596927;Frozen Foods;1.280.678;OUT045;2002;;Tier 2;Supermarket Type1;17803492
DRG49;7,8;Low Fat;0.067592098;Soft Drinks;2.460.486;OUT045;2002;;Tier 2;Supermarket Type1;70861094
FDH21;;Low Fat;0.054670967;Seafood;1.586.604;OUT019;1985;Small;Tier 1;Grocery Store;3169208
NCN19;13,1;Low Fat;0.012089479;Others;189.853;OUT013;1987;High;Tier 3;Supermarket Type1;3415554
FDP25;15,2;Low Fat;0.021250528;Canned;2.165.824;OUT045;2002;;Tier 2;Supermarket Type1;52411776
DRH59;10,8;Low Fat;0.05843345;Hard Drinks;74.738;OUT046;1997;Small;Tier 1;Supermarket Type1;1025332
FDH09;12,6;Low Fat;0.05606697;Seafood;507.982;OUT035;2004;Small;Tier 2;Supermarket Type1;4733838
NCK54;12,2;Low Fat;0.029569276;Household;115.015;OUT049;1999;Medium;Tier 1;Supermarket Type1;2912875
FDT21;7,4;Low Fat;0.0204332;Snack Foods;2.489.092;OUT045;2002;;Tier 2;Supermarket Type1;59762208
FDR12;;Regular;0.055213281;Baking Goods;1.724.764;OUT019;1985;Small;Tier 1;Grocery Store;6871056
FDS25;6885,0;Regular;0.1408005;Canned;1.114.228;OUT017;2007;;Tier 2;Supermarket Type1;29841156
NCL05;;Low Fat;0.047665717;Health and Hygiene;42.177;OUT027;1985;Medium;Tier 3;Supermarket Type3;1255033
NCI30;20,3;Low Fat;0.059268885;Household;246.446;OUT017;2007;;Tier 2;Supermarket Type1;3695
FDJ26;15,3;Regular;0.084937098;Canned;2.140.218;OUT045;2002;;Tier 2;Supermarket Type1;1068609
FDA56;9,2;Low Fat;0.008778413;Fruits and Vegetables;1.224.414;OUT049;1999;Medium;Tier 1;Supermarket Type1;15839382
FDM33;15,6;Low Fat;0;Snack Foods;2.204.798;OUT018;2009;Medium;Tier 3;Supermarket Type2;6611394
FDP04;15,4;Low Fat;0.013834247;Frozen Foods;627.168;OUT049;1999;Medium;Tier 1;Supermarket Type1;958752
FDR55;12,2;Regular;0.132351411;Fruits and Vegetables;1.903.872;OUT045;2002;;Tier 2;Supermarket Type1;2836308
NCZ54;;Low Fat;0.082955719;Household;1.640.552;OUT027;1985;Medium;Tier 3;Supermarket Type3;55234768
NCA53;11395,0;low fat;0.009893817;Health and Hygiene;503.034;OUT049;1999;Medium;Tier 1;Supermarket Type1;972068
FDL20;17,1;Low Fat;0;Fruits and Vegetables;1.119.886;OUT046;1997;Small;Tier 1;Supermarket Type1;30020922
FDT26;18,9;Regular;0.067940657;Dairy;119.044;OUT035;2004;Small;Tier 2;Supermarket Type1;1198
NCZ06;19,6;Low Fat;0.094161662;Household;2.519.698;OUT046;1997;Small;Tier 1;Supermarket Type1;45660564
FDA04;11,3;Regular;0.067107448;Frozen Foods;2.581.962;OUT017;2007;;Tier 2;Supermarket Type1;44029354
FDD29;;Low Fat;0.018321361;Frozen Foods;2.553.698;OUT027;1985;Medium;Tier 3;Supermarket Type3;48197262
FDS56;5785,0;Regular;0.038756864;Fruits and Vegetables;2.607.252;OUT046;1997;Small;Tier 1;Supermarket Type1;60334796
FDT07;5,8;Regular;0.077254736;Fruits and Vegetables;257.633;OUT013;1987;High;Tier 3;Supermarket Type1;1537998
FDT58;9,0;Low Fat;0.08630486;Snack Foods;1.680.816;OUT018;2009;Medium;Tier 3;Supermarket Type2;21811608
FDJ10;;Regular;0.128876537;Snack Foods;1.391.838;OUT027;1985;Medium;Tier 3;Supermarket Type3;4916933
FDN25;7895,0;Regular;0.061163967;Breakfast;592.588;OUT035;2004;Small;Tier 2;Supermarket Type1;8016232
DRC27;13,8;Low Fat;0.058220302;Dairy;2.474.802;OUT045;2002;;Tier 2;Supermarket Type1;14740812
FDA38;5,4;Low Fat;0.025519534;Dairy;2.387.538;OUT049;1999;Medium;Tier 1;Supermarket Type1;3605307
FDM56;16,7;Low Fat;0.070133177;Fruits and Vegetables;1.098.912;OUT013;1987;High;Tier 3;Supermarket Type1;8735296
NCI43;19,9;Low Fat;0.025947095;Household;469.376;OUT013;1987;High;Tier 3;Supermarket Type1;5752512
FDP36;10395,0;Regular;0.091688111;Baking Goods;490.008;OUT017;2007;;Tier 2;Supermarket Type1;8602136
DRK49;;LF;0;Soft Drinks;405.138;OUT019;1985;Small;Tier 1;Grocery Store;406138
FDW32;;Regular;0.165101585;Fruits and Vegetables;877.882;OUT019;1985;Small;Tier 1;Grocery Store;5153292
NCW18;15,1;Low Fat;0.059417055;Household;2.379.248;OUT049;1999;Medium;Tier 1;Supermarket Type1;21332232
FDQ44;20,5;Low Fat;0.036287517;Fruits and Vegetables;1.212.756;OUT018;2009;Medium;Tier 3;Supermarket Type2;21811608
FDL45;15,6;Low Fat;0.037764269;Snack Foods;1.249.704;OUT045;2002;;Tier 2;Supermarket Type1;22530672
DRB48;16,8;Regular;0.024848788;Soft Drinks;399.822;OUT035;2004;Small;Tier 2;Supermarket Type1;7463618
FDQ34;10,9;Low Fat;0.162903525;Snack Foods;1.049.622;OUT018;2009;Medium;Tier 3;Supermarket Type2;14820708
FDH17;16,2;Regular;0.016747538;Frozen Foods;986.726;OUT017;2007;;Tier 2;Supermarket Type1;12723438
FDN08;7,7;Regular;0.147904328;Fruits and Vegetables;1.166.466;OUT010;1998;;Tier 3;Grocery Store;1178466
FDK57;;Low Fat;0.079904068;Snack Foods;120.044;OUT027;1985;Medium;Tier 3;Supermarket Type3;4434228
FDK10;5785,0;Regular;0.040325274;Snack Foods;180.466;OUT013;1987;High;Tier 3;Supermarket Type1;719064
FDL39;;Regular;0.06302467;Dairy;1.816.318;OUT027;1985;Medium;Tier 3;Supermarket Type3;12630226
FDP25;15,2;Low Fat;0.021203509;Canned;2.163.824;OUT035;2004;Small;Tier 2;Supermarket Type1;61147072
FDC05;13,1;Regular;0.098765906;Frozen Foods;1.963.768;OUT035;2004;Small;Tier 2;Supermarket Type1;21678448
FDA39;6,3;Low Fat;0.012707362;Meat;410.822;OUT013;1987;High;Tier 3;Supermarket Type1;9427728
FDZ10;17,9;Low Fat;0.04442649;Snack Foods;124.902;OUT013;1987;High;Tier 3;Supermarket Type1;1898
FDK08;;Regular;0.121712459;Fruits and Vegetables;1.012.016;OUT027;1985;Medium;Tier 3;Supermarket Type3;26312416
DRD24;13,9;Low Fat;0.030769458;Soft Drinks;1.417.154;OUT013;1987;High;Tier 3;Supermarket Type1;29781234
DRG48;5,8;Low Fat;0.014614357;Soft Drinks;1.473.102;OUT018;2009;Medium;Tier 3;Supermarket Type2;23329632
FDH52;;Regular;0.076868664;Frozen Foods;621.194;OUT019;1985;Small;Tier 1;Grocery Store;1238388
FDS25;6885,0;Regular;0.140292495;Canned;1.085.228;OUT045;2002;;Tier 2;Supermarket Type1;19894104
NCH43;8,4;Low Fat;0.070555571;Household;2.160.192;OUT035;2004;Small;Tier 2;Supermarket Type1;23729112
DRK01;7,6;Low Fat;0.061409711;Soft Drinks;946.436;OUT017;2007;;Tier 2;Supermarket Type1;16072412
FDD59;10,5;Regular;0.066555152;Starchy Foods;80.896;OUT017;2007;;Tier 2;Supermarket Type1;958752
FDB27;7575,0;Low Fat;0.092711708;Dairy;1.977.768;OUT010;1998;;Tier 3;Grocery Store;1970768
FDO22;13,5;Regular;0.017844609;Snack Foods;81.396;OUT013;1987;High;Tier 3;Supermarket Type1;1198
FDD35;12,2;Low Fat;0.025916883;Starchy Foods;120.244;OUT045;2002;;Tier 2;Supermarket Type1;2277036
FDR01;5405,0;Regular;0.053611144;Canned;1.977.742;OUT035;2004;Small;Tier 2;Supermarket Type1;7962968
NCB31;;Low Fat;0.207783483;Household;262.291;OUT019;1985;Small;Tier 1;Grocery Store;525982
FDC35;7435,0;Low Fat;0.122837694;Starchy Foods;2.087.638;OUT046;1997;Small;Tier 1;Supermarket Type1;3105957
FDS23;4635,0;Low Fat;0.141174838;Breads;1.270.994;OUT045;2002;;Tier 2;Supermarket Type1;28269868
FDC33;9,0;Regular;0.069078149;Fruits and Vegetables;1.977.768;OUT045;2002;;Tier 2;Supermarket Type1;31532288
NCF18;18,4;LF;0.089345074;Household;1.919.504;OUT018;2009;Medium;Tier 3;Supermarket Type2;53690112
FDM36;11,7;Regular;0.058822142;Baking Goods;1.735.422;OUT049;1999;Medium;Tier 1;Supermarket Type1;3448844
FDJ53;10,5;Low Fat;0.071368699;Frozen Foods;1.213.098;OUT049;1999;Medium;Tier 1;Supermarket Type1;14461176
NCL17;7,4;Low Fat;0.068055818;Health and Hygiene;1.407.812;OUT018;2009;Medium;Tier 3;Supermarket Type2;15672932
FDW27;;Regular;0.150122794;Meat;1.545.314;OUT027;1985;Medium;Tier 3;Supermarket Type3;13961826
FDA32;14,0;Low Fat;0.030094192;Fruits and Vegetables;2.157.192;OUT046;1997;Small;Tier 1;Supermarket Type1;1078596
FDA03;18,5;Regular;0.076097035;Dairy;1.458.102;OUT010;1998;;Tier 3;Grocery Store;2916204
FDW09;13,7;Regular;0.025973384;Snack Foods;796.302;OUT045;2002;;Tier 2;Supermarket Type1;5546114
FDN09;14,2;LF;0;Snack Foods;2.441.828;OUT045;2002;;Tier 2;Supermarket Type1;7310484
FDM08;10,1;Regular;0.053887301;Fruits and Vegetables;2.256.088;OUT017;2007;;Tier 2;Supermarket Type1;42504672
FDX01;10,1;LF;0.024262772;Canned;117.615;OUT018;2009;Medium;Tier 3;Supermarket Type2;1514695
DRO35;13,9;Low Fat;0.034624104;Hard Drinks;1.150.492;OUT049;1999;Medium;Tier 1;Supermarket Type1;4054722
FDS31;13,1;Regular;0.044281996;Fruits and Vegetables;1.785.318;OUT045;2002;;Tier 2;Supermarket Type1;30673406
NCM53;18,8;Low Fat;0.052121825;Health and Hygiene;104.828;OUT049;1999;Medium;Tier 1;Supermarket Type1;2343616
FDI16;14,0;Regular;0.135662712;Frozen Foods;52.064;OUT013;1987;High;Tier 3;Supermarket Type1;852224
DRF36;16,1;Low Fat;0.023613955;Soft Drinks;1.928.846;OUT049;1999;Medium;Tier 1;Supermarket Type1;53503688
FDW49;;Low Fat;0.082152451;Canned;1.799.002;OUT027;1985;Medium;Tier 3;Supermarket Type3;41193046
FDB58;;Regular;0.02363057;Snack Foods;1.417.154;OUT019;1985;Small;Tier 1;Grocery Store;4254462
NCJ18;12,4;Low Fat;0.164274416;Household;1.198.124;OUT045;2002;;Tier 2;Supermarket Type1;21332232
FDL51;20,7;Regular;0.047587685;Dairy;2.150.876;OUT045;2002;;Tier 2;Supermarket Type1;51453024
FDS03;7825,0;Low Fat;0.079952983;Meat;627.826;OUT018;2009;Medium;Tier 3;Supermarket Type2;11624868
NCO54;;low fat;0.024992442;Household;536.614;OUT019;1985;Small;Tier 1;Grocery Store;1657842
FDA48;12,1;Low Fat;0.115107028;Baking Goods;2.220.114;OUT045;2002;;Tier 2;Supermarket Type1;35473824
NCK06;;Low Fat;0.008604657;Household;1.231.756;OUT027;1985;Medium;Tier 3;Supermarket Type3;1211756
NCZ54;14,7;Low Fat;0.083528446;Household;1.624.552;OUT045;2002;;Tier 2;Supermarket Type1;22743728
FDW39;;Regular;0.036731658;Meat;177.237;OUT027;1985;Medium;Tier 3;Supermarket Type3;4763799
FDI09;20,8;Regular;0.129337594;Seafood;238.188;OUT046;1997;Small;Tier 1;Supermarket Type1;5033448
NCO02;11,2;Low Fat;0;Others;650.142;OUT049;1999;Medium;Tier 1;Supermarket Type1;11205414
DRF13;12,1;Low Fat;0.029827665;Soft Drinks;1.443.444;OUT049;1999;Medium;Tier 1;Supermarket Type1;26125992
FDK25;11,6;Regular;0.157718931;Breakfast;1.683.474;OUT017;2007;;Tier 2;Supermarket Type1;45480798
FDZ38;17,6;Low Fat;0.008046275;Dairy;1.737.422;OUT017;2007;;Tier 2;Supermarket Type1;58630348
NCQ42;;Low Fat;0.068753558;Household;1.279.678;OUT019;1985;Small;Tier 1;Grocery Store;2543356
FDM14;;Low Fat;0.013199737;Canned;1.089.254;OUT027;1985;Medium;Tier 3;Supermarket Type3;2713135
FDC20;10,7;LF;0.023971463;Fruits and Vegetables;540.272;OUT046;1997;Small;Tier 1;Supermarket Type1;4474176
FDW32;18,4;Regular;0.09468096;Fruits and Vegetables;862.882;OUT018;2009;Medium;Tier 3;Supermarket Type2;16318758
FDQ19;7,4;Regular;0.014394261;Fruits and Vegetables;2.413.512;OUT045;2002;;Tier 2;Supermarket Type1;53317264
FDE08;18,2;Low Fat;0.049396364;Fruits and Vegetables;1.464.734;OUT049;1999;Medium;Tier 1;Supermarket Type1;35633616
FDC29;8,4;Regular;0.024243294;Frozen Foods;1.160.176;OUT049;1999;Medium;Tier 1;Supermarket Type1;16032464
FDV50;14,3;Low Fat;0.122469209;Dairy;121.973;OUT013;1987;High;Tier 3;Supermarket Type1;2709806
FDF11;10195,0;Regular;0.017730951;Starchy Foods;2.398.538;OUT017;2007;;Tier 2;Supermarket Type1;40860146
FDN09;14,2;LF;0.035016754;Snack Foods;2.453.828;OUT018;2009;Medium;Tier 3;Supermarket Type2;17057796
DRG37;16,2;Low Fat;0.019417732;Soft Drinks;1.537.972;OUT045;2002;;Tier 2;Supermarket Type1;14021748
NCV06;;Low Fat;0.066358426;Household;1.952.478;OUT027;1985;Medium;Tier 3;Supermarket Type3;71686686
DRJ13;12,7;Low Fat;0.105265475;Soft Drinks;1.599.578;OUT010;1998;;Tier 3;Grocery Store;9627468
DRF25;;Low Fat;0.038736754;Soft Drinks;37.319;OUT027;1985;Medium;Tier 3;Supermarket Type3;1281665
FDE53;10895,0;Low Fat;0.044991876;Frozen Foods;107.228;OUT010;1998;;Tier 3;Grocery Store;426112
FDS08;5735,0;Low Fat;0.05696122;Fruits and Vegetables;176.337;OUT046;1997;Small;Tier 1;Supermarket Type1;1764
FDO23;17,9;Low Fat;0.147255604;Breads;937.436;OUT017;2007;;Tier 2;Supermarket Type1;17017848
FDT07;5,8;Regular;0.077319079;Fruits and Vegetables;255.433;OUT046;1997;Small;Tier 1;Supermarket Type1;4357661
NCX29;10,0;Low Fat;0.089135671;Health and Hygiene;1.469.102;OUT035;2004;Small;Tier 2;Supermarket Type1;32078244
FDG22;17,6;Regular;0.041373331;Snack Foods;38.119;OUT035;2004;Small;Tier 2;Supermarket Type1;732
DRJ47;;Low Fat;0.04403602;Hard Drinks;173.308;OUT027;1985;Medium;Tier 3;Supermarket Type3;6751212
FDL43;10,1;Low Fat;0.027041859;Meat;77.567;OUT013;1987;High;Tier 3;Supermarket Type1;306268
FDZ43;;Regular;0.056782237;Fruits and Vegetables;2.412.512;OUT027;1985;Medium;Tier 3;Supermarket Type3;82399408
FDZ21;17,6;Regular;0.03922186;Snack Foods;97.241;OUT046;1997;Small;Tier 1;Supermarket Type1;193082
FDJ50;8645,0;Low Fat;0.021581922;Canned;533.982;OUT035;2004;Small;Tier 2;Supermarket Type1;12097586
FDV35;19,5;Low Fat;0.128206001;Breads;1.559.314;OUT046;1997;Small;Tier 1;Supermarket Type1;3878285
FDW56;7,7;Low Fat;0.071301323;Fruits and Vegetables;1.908.162;OUT017;2007;;Tier 2;Supermarket Type1;26938268
DRL35;15,7;Low Fat;0.030765898;Hard Drinks;43.277;OUT045;2002;;Tier 2;Supermarket Type1;649155
FDR01;5405,0;Regular;0.053730029;Canned;1.990.742;OUT045;2002;;Tier 2;Supermarket Type1;47777808
